STATE/UT,CRIME HEAD,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Andhra Pradesh,RAPE,871,992,926,986,896,1000,1011,1189,1110,1274,1345,1234
Arunachal Pradesh,RAPE,33,37,29,39,31,32,42,36,52,39,33,36
Assam,RAPE,817,956,1067,1129,1182,1174,1354,1341,1520,1596,1561,1563
Bihar,RAPE,888,1017,940,1323,1057,1120,1421,1146,750,594,711,682
Chhattisgarh,RAPE,959,970,854,904,903,886,852,826,802,817,836,795
Goa,RAPE,12,11,30,36,19,20,19,29,46,35,28,53
Gujarat,RAPE,286,261,225,322,302,326,283,335,389,358,384,412
Haryana,RAPE,398,353,337,362,429,568,440,575,539,648,653,580
Himachal Pradesh,RAPE,124,135,122,148,134,105,149,145,170,145,152,165
Jammu & Kashmir,RAPE,169,187,202,205,184,229,263,190,204,208,236,258
Jharkhand,RAPE,567,784,686,758,702,735,778,702,617,658,657,672
Karnataka,RAPE,293,287,311,277,324,377,408,413,472,544,590,570
Kerala,RAPE,562,496,388,471,467,587,495,548,546,609,1104,988
Madhya Pradesh,RAPE,2851,2833,2622,2701,2689,2610,2662,2531,2534,2614,2827,2788
Maharashtra,RAPE,1302,1331,1226,1325,1461,1395,1326,1412,1316,1411,1492,1609
Manipur,RAPE,20,13,17,29,23,38,17,35,28,30,49,58
Meghalaya,RAPE,26,37,38,51,60,70,77,82,106,142,122,156
Mizoram,RAPE,52,74,51,16,32,66,75,68,73,81,65,89
Nagaland,RAPE,17,17,14,18,17,23,13,19,22,16,23,21
Odisha,RAPE,790,679,702,736,754,929,872,1035,934,925,1001,1336
Punjab,RAPE,298,294,371,377,381,421,494,488,478,509,438,634
Rajasthan,RAPE,1049,1028,1005,970,903,972,1103,1197,1339,1368,1575,1801
Sikkim,RAPE,8,5,9,2,17,19,23,19,17,17,15,32
Tamil Nadu,RAPE,423,527,543,598,544,424,483,526,543,626,611,664
Tripura,RAPE,102,106,110,155,155,181,147,193,177,224,189,212
Uttar Pradesh,RAPE,1958,1375,832,1278,1059,1117,1411,1595,1444,1208,1648,1530
Uttarakhand,RAPE,74,87,104,110,127,139,108,77,99,108,114,132
West Bengal,RAPE,709,749,982,1445,1646,1681,2046,2193,2256,2222,2264,1937
A&N Islands,RAPE,3,1,1,9,3,5,2,11,17,23,12,11
Chandigarh,RAPE,18,17,17,18,31,17,20,17,26,28,23,23
D&N Haveli,RAPE,6,3,0,6,3,4,5,3,1,0,0,0
Daman & Diu,RAPE,1,0,4,0,1,2,0,0,0,0,0,4
Delhi UT,RAPE,381,395,474,527,626,583,550,410,405,435,492,618
Lakshadweep,RAPE,1,0,1,0,0,0,0,1,0,0,0,0
Puducherry,RAPE,9,5,1,3,5,7,7,6,0,0,4,10
All India,RAPE,16075,16089,15279,17382,17224,17930,19035,19482,19128,19619,21370,21803
