STATE,POPULATION CHANGE
Andhra Pradesh,11.1
Arunachal Pradesh,25.92
Assam,16.93
Bihar,25.07
Chhattisgarh,22.59
Goa,8.17
Gujarat,19.17
Haryana,19.9
Himachal Pradesh,12.81
Jammu & Kashmir,23.71
Jharkhand,22.34
Karnataka,15.67
Kerala,4.86
Madhya Pradesh,20.3
Maharashtra,15.99
Manipur,18.65
Meghalaya,27.82
Mizoram,22.78
Nagaland,-0.47
Odisha,13.97
Punjab,13.73
Rajasthan,21.44
Sikkim,12.36
Tamil Nadu,15.6
Tripura,14.75
Uttar Pradesh,20.09
Uttarakhand,19.17
West Bengal,13.93
A&N Islands,6.68
Chandigarh,17.1
D&N Haveli,55.5
Daman & Diu,53.54
Delhi UT,20.96
Lakshadweep,6.23
Puducherry,27.72
All India,17.64
